ChemicalName,MACCSKey,Relationship
(L)-Ephedrine,maccs054,hasKey
(L)-Ephedrine,maccs093,hasKey
(L)-Ephedrine,maccs095,hasKey
(L)-Ephedrine,maccs131,hasKey
(L)-Ephedrine,maccs139,hasKey
(L)-Ephedrine,maccs149,hasKey
(L)-Ephedrine,maccs151,hasKey
(L)-Ephedrine,maccs152,hasKey
(L)-Ephedrine,maccs156,hasKey
(L)-Ephedrine,maccs157,hasKey
(L)-Ephedrine,maccs158,hasKey
(L)-Ephedrine,maccs160,hasKey
(L)-Ephedrine,maccs161,hasKey
(L)-Ephedrine,maccs162,hasKey
(L)-Ephedrine,maccs163,hasKey
(L)-Ephedrine,maccs164,hasKey
(L)-Ephedrine,maccs165,hasKey
"1,1,1,2-Tetrafluoroethane",maccs042,hasKey
"1,1,1,2-Tetrafluoroethane",maccs106,hasKey
"1,1,1,2-Tetrafluoroethane",maccs107,hasKey
"1,1,1,2-Tetrafluoroethane",maccs112,hasKey
"1,1,1,2-Tetrafluoroethane",maccs134,hasKey
"1,1,1,2-Tetrafluoroethane",maccs153,hasKey
"1,1,1,2-Tetrafluoroethane",maccs155,hasKey
"1,1,1-Trichloroethane",maccs103,hasKey
"1,1,1-Trichloroethane",maccs106,hasKey
"1,1,1-Trichloroethane",maccs107,hasKey
"1,1,1-Trichloroethane",maccs112,hasKey
"1,1,1-Trichloroethane",maccs134,hasKey
"1,1,1-Trichloroethane",maccs160,hasKey
"1,1,2,2-Tetrachloroethane",maccs103,hasKey
"1,1,2,2-Tetrachloroethane",maccs107,hasKey
"1,1,2,2-Tetrachloroethane",maccs134,hasKey
"1,1-Dichloroethane",maccs103,hasKey
"1,1-Dichloroethane",maccs107,hasKey
"1,1-Dichloroethane",maccs134,hasKey
"1,1-Dichloroethane",maccs160,hasKey
"1,1-Dichloroethylene",maccs021,hasKey
"1,1-Dichloroethylene",maccs034,hasKey
"1,1-Dichloroethylene",maccs076,hasKey
"1,1-Dichloroethylene",maccs099,hasKey
"1,1-Dichloroethylene",maccs103,hasKey
"1,1-Dichloroethylene",maccs107,hasKey
"1,1-Dichloroethylene",maccs134,hasKey
"1,1-Difluoroethane",maccs042,hasKey
"1,1-Difluoroethane",maccs107,hasKey
"1,1-Difluoroethane",maccs134,hasKey
"1,1-Difluoroethane",maccs160,hasKey
"1,1-Difluoroethene",maccs021,hasKey
"1,1-Difluoroethene",maccs034,hasKey
"1,1-Difluoroethene",maccs042,hasKey
"1,1-Difluoroethene",maccs076,hasKey
"1,1-Difluoroethene",maccs099,hasKey
"1,1-Difluoroethene",maccs107,hasKey
"1,1-Difluoroethene",maccs134,hasKey
"1,1-Dimethylhydrazine",maccs052,hasKey
"1,1-Dimethylhydrazine",maccs069,hasKey
"1,1-Dimethylhydrazine",maccs074,hasKey
"1,1-Dimethylhydrazine",maccs084,hasKey
"1,1-Dimethylhydrazine",maccs086,hasKey
"1,1-Dimethylhydrazine",maccs093,hasKey
"1,1-Dimethylhydrazine",maccs094,hasKey
"1,1-Dimethylhydrazine",maccs122,hasKey
"1,1-Dimethylhydrazine",maccs124,hasKey
"1,1-Dimethylhydrazine",maccs142,hasKey
"1,1-Dimethylhydrazine",maccs148,hasKey
"1,1-Dimethylhydrazine",maccs149,hasKey
"1,1-Dimethylhydrazine",maccs151,hasKey
"1,1-Dimethylhydrazine",maccs156,hasKey
"1,1-Dimethylhydrazine",maccs158,hasKey
"1,1-Dimethylhydrazine",maccs160,hasKey
"1,1-Dimethylhydrazine",maccs161,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs087,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs103,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs107,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs134,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs144,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs150,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs162,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs163,hasKey
"1,2,4,5-Tetrachlorobenzene",maccs165,hasKey
"1,2-Dibromo-3-chloropropane",maccs046,hasKey
"1,2-Dibromo-3-chloropropane",maccs103,hasKey
"1,2-Dibromo-3-chloropropane",maccs107,hasKey
"1,2-Dibromo-3-chloropropane",maccs134,hasKey
"1,2-Dibromo-3-chloropropane",maccs138,hasKey
"1,2-Dibromo-3-chloropropane",maccs153,hasKey
"1,2-Dibromo-3-chloropropane",maccs155,hasKey
"1,2-Dichloroethane",maccs103,hasKey
"1,2-Dichloroethane",maccs118,hasKey
"1,2-Dichloroethane",maccs134,hasKey
"1,2-Dichloroethane",maccs138,hasKey
"1,2-Dichloroethane",maccs147,hasKey
"1,2-Dichloroethane",maccs153,hasKey
"1,2-Dichloroethane",maccs155,hasKey
"1,2-Dichloroethylene",maccs099,hasKey
"1,2-Dichloroethylene",maccs103,hasKey
"1,2-Dichloroethylene",maccs134,hasKey
"1,2-Dichloropropane",maccs103,hasKey
"1,2-Dichloropropane",maccs107,hasKey
"1,2-Dichloropropane",maccs115,hasKey
"1,2-Dichloropropane",maccs134,hasKey
"1,2-Dichloropropane",maccs153,hasKey
"1,2-Dichloropropane",maccs155,hasKey
"1,2-Dichloropropane",maccs160,hasKey
"1,2-Diphenylhydrazine",maccs052,hasKey
"1,2-Diphenylhydrazine",maccs068,hasKey
"1,2-Diphenylhydrazine",maccs069,hasKey
"1,2-Diphenylhydrazine",maccs094,hasKey
"1,2-Diphenylhydrazine",maccs124,hasKey
"1,2-Diphenylhydrazine",maccs125,hasKey
"1,2-Diphenylhydrazine",maccs131,hasKey
"1,2-Diphenylhydrazine",maccs133,hasKey
"1,2-Diphenylhydrazine",maccs135,hasKey
"1,2-Diphenylhydrazine",maccs142,hasKey
"1,2-Diphenylhydrazine",maccs145,hasKey
"1,2-Diphenylhydrazine",maccs151,hasKey
"1,2-Diphenylhydrazine",maccs156,hasKey
"1,2-Diphenylhydrazine",maccs158,hasKey
"1,2-Diphenylhydrazine",maccs161,hasKey
"1,2-Diphenylhydrazine",maccs162,hasKey
"1,2-Diphenylhydrazine",maccs163,hasKey
"1,2-Diphenylhydrazine",maccs165,hasKey
"1,2-Propanediol Dinitrate",maccs024,hasKey
"1,2-Propanediol Dinitrate",maccs048,hasKey
"1,2-Propanediol Dinitrate",maccs049,hasKey
"1,2-Propanediol Dinitrate",maccs063,hasKey
"1,2-Propanediol Dinitrate",maccs070,hasKey
"1,2-Propanediol Dinitrate",maccs071,hasKey
"1,2-Propanediol Dinitrate",maccs072,hasKey
"1,2-Propanediol Dinitrate",maccs094,hasKey
"1,2-Propanediol Dinitrate",maccs097,hasKey
"1,2-Propanediol Dinitrate",maccs102,hasKey
"1,2-Propanediol Dinitrate",maccs106,hasKey
"1,2-Propanediol Dinitrate",maccs109,hasKey
"1,2-Propanediol Dinitrate",maccs111,hasKey
"1,2-Propanediol Dinitrate",maccs115,hasKey
"1,2-Propanediol Dinitrate",maccs119,hasKey
"1,2-Propanediol Dinitrate",maccs122,hasKey
"1,2-Propanediol Dinitrate",maccs124,hasKey
"1,2-Propanediol Dinitrate",maccs126,hasKey
"1,2-Propanediol Dinitrate",maccs130,hasKey
"1,2-Propanediol Dinitrate",maccs132,hasKey
"1,2-Propanediol Dinitrate",maccs136,hasKey
"1,2-Propanediol Dinitrate",maccs140,hasKey
"1,2-Propanediol Dinitrate",maccs142,hasKey
"1,2-Propanediol Dinitrate",maccs146,hasKey
"1,2-Propanediol Dinitrate",maccs148,hasKey
"1,2-Propanediol Dinitrate",maccs152,hasKey
"1,2-Propanediol Dinitrate",maccs153,hasKey
"1,2-Propanediol Dinitrate",maccs155,hasKey
"1,2-Propanediol Dinitrate",maccs157,hasKey
"1,2-Propanediol Dinitrate",maccs159,hasKey
"1,2-Propanediol Dinitrate",maccs160,hasKey
"1,2-Propanediol Dinitrate",maccs161,hasKey
"1,2-Propanediol Dinitrate",maccs164,hasKey
"1,2-Propylene Oxide",maccs016,hasKey
"1,2-Propylene Oxide",maccs022,hasKey
"1,2-Propylene Oxide",maccs057,hasKey
"1,2-Propylene Oxide",maccs109,hasKey
"1,2-Propylene Oxide",maccs115,hasKey
"1,2-Propylene Oxide",maccs116,hasKey
"1,2-Propylene Oxide",maccs137,hasKey
"1,2-Propylene Oxide",maccs152,hasKey
