ChemicalName,Symptom,relationship
(L)-Ephedrine,High Body Temp,hasSymptom
(L)-Ephedrine,Agitation,hasSymptom
(L)-Ephedrine,Headaches,hasSymptom
(L)-Ephedrine,Lower Mentatl State,hasSymptom
(L)-Ephedrine,Spasm/seizures,hasSymptom
(L)-Ephedrine,Hearing Loss,hasSymptom
(L)-Ephedrine,Tinnitus,hasSymptom
(L)-Ephedrine,Dilated Pupils,hasSymptom
(L)-Ephedrine,Bloddy Nose,hasSymptom
(L)-Ephedrine,Nosal Irritation,hasSymptom
(L)-Ephedrine,Runny nose,hasSymptom
(L)-Ephedrine,Sneezing,hasSymptom
(L)-Ephedrine,Dry mouth/throat,hasSymptom
(L)-Ephedrine,Arrythmia,hasSymptom
(L)-Ephedrine,Bradycardia,hasSymptom
(L)-Ephedrine,Chest pain,hasSymptom
(L)-Ephedrine,Hypertension,hasSymptom
(L)-Ephedrine,Hypoxia/Cyanosis,hasSymptom
(L)-Ephedrine,Tachycardia,hasSymptom
(L)-Ephedrine,Hypoxia/cyanosis,hasSymptom
(L)-Ephedrine,Irregular Breathing,hasSymptom
(L)-Ephedrine,Pulmonary Edema,hasSymptom
(L)-Ephedrine,Rapid Breathing,hasSymptom
(L)-Ephedrine,Shortness of Breathing,hasSymptom
(L)-Ephedrine,Nausea,hasSymptom
(L)-Ephedrine,Urinary pain/burning,hasSymptom
(L)-Ephedrine,Vomiting,hasSymptom
(L)-Ephedrine,Sweating,hasSymptom
"1,1,1,2-Tetrafluoroethane",Chilles,hasSymptom
"1,1,1,2-Tetrafluoroethane",High Body Temp,hasSymptom
"1,1,1,2-Tetrafluoroethane",Low Body Temp,hasSymptom
"1,1,1,2-Tetrafluoroethane",Shivering,hasSymptom
"1,1,1,2-Tetrafluoroethane",Agitation,hasSymptom
"1,1,1,2-Tetrafluoroethane",Headaches,hasSymptom
"1,1,1,2-Tetrafluoroethane",Lower Mentatl State,hasSymptom
"1,1,1,2-Tetrafluoroethane",Hearing Loss,hasSymptom
"1,1,1,2-Tetrafluoroethane",Tinnitus,hasSymptom
"1,1,1,2-Tetrafluoroethane",Eye irritation/redness,hasSymptom
"1,1,1,2-Tetrafluoroethane",Nosal Irritation,hasSymptom
"1,1,1,2-Tetrafluoroethane",Mouth irritation,hasSymptom
"1,1,1,2-Tetrafluoroethane",Throat irritation,hasSymptom
"1,1,1,2-Tetrafluoroethane",Arrythmia,hasSymptom
"1,1,1,2-Tetrafluoroethane",Bradycardia,hasSymptom
"1,1,1,2-Tetrafluoroethane",Hypoxia/Cyanosis,hasSymptom
"1,1,1,2-Tetrafluoroethane",Tachycardia,hasSymptom
"1,1,1,2-Tetrafluoroethane",Hypoxia/cyanosis,hasSymptom
"1,1,1,2-Tetrafluoroethane",Irregular Breathing,hasSymptom
"1,1,1,2-Tetrafluoroethane",Pulmonary Edema,hasSymptom
"1,1,1,2-Tetrafluoroethane",Shortness of Breathing,hasSymptom
"1,1,1,2-Tetrafluoroethane",Slow Breathing,hasSymptom
"1,1,1,2-Tetrafluoroethane",Nausea,hasSymptom
"1,1,1,2-Tetrafluoroethane",Vomiting,hasSymptom
"1,1,1,2-Tetrafluoroethane",Frostbite,hasSymptom
"1,1,1-Trichloroethane",Chilles,hasSymptom
"1,1,1-Trichloroethane",High Body Temp,hasSymptom
"1,1,1-Trichloroethane",Low Body Temp,hasSymptom
"1,1,1-Trichloroethane",Shivering,hasSymptom
"1,1,1-Trichloroethane",Agitation,hasSymptom
"1,1,1-Trichloroethane",Dizziness,hasSymptom
"1,1,1-Trichloroethane",drowsiness,hasSymptom
"1,1,1-Trichloroethane",fatigue/weakness,hasSymptom
"1,1,1-Trichloroethane",Headaches,hasSymptom
"1,1,1-Trichloroethane",Lack of coordination,hasSymptom
"1,1,1-Trichloroethane",Lower Mentatl State,hasSymptom
"1,1,1-Trichloroethane",Spasm/seizures,hasSymptom
"1,1,1-Trichloroethane",unresponsive,hasSymptom
"1,1,1-Trichloroethane",Hearing Loss,hasSymptom
"1,1,1-Trichloroethane",Tinnitus,hasSymptom
"1,1,1-Trichloroethane",Dilated Pupils,hasSymptom
