Chem_Name,CASno,SMILES,Molecular_formula
(L)-Ephedrine,299-42-3,CC(C(C1=CC=CC=C1)O)NC,C10H15NO
"1,1,1,2-Tetrafluoroethane",811-97-2,C(C(F)(F)F)F,C2H2F4
"1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,C2H3Cl3
"1,1,2,2-Tetrachloroethane",79-34-5,C(C(Cl)Cl)(Cl)Cl,C2H2Cl4
"1,1-Dichloroethane",75-34-3,CC(Cl)Cl,C2H4Cl2
"1,1-Dichloroethylene",75-35-4,C=C(Cl)Cl,C2H2Cl2
"1,1-Difluoroethane",75-37-6,CC(F)F,C2H4F2
"1,1-Difluoroethene",75-38-7,C=C(F)F,C2H2F2
"1,1-Dimethylhydrazine",57-14-7,CN(C)N,C2H8N2
"1,2,4,5-Tetrachlorobenzene",95-94-3,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,C6H2Cl4
"1,2-Dibromo-3-chloropropane",1996-12-08,C(C(CBr)Br)Cl,C3H5Br2Cl
"1,2-Dichloroethane",107-06-2,C(CCl)Cl,C2H4Cl2
"1,2-Dichloroethylene",540-59-0,C(=CCl)Cl,C2H2Cl2
"1,2-Dichloropropane",78-87-5,CC(CCl)Cl,C3H6Cl2
"1,2-Diphenylhydrazine",122-66-7,C1=CC=C(C=C1)NNC2=CC=CC=C2,C12H12N2
"1,2-Propanediol Dinitrate",6423-43-4,CC(CO[N+](=O)[O-])O[N+](=O)[O-],C3H6N2O6
"1,2-Propylene Oxide",75-56-9,CC1CO1,C3H6O
"1,3,5-Trinitrobenzene",99-35-4,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C6H3N3O6
"1,3-Butadiene",106-99-0,C=CC=C,C4H6
"1,3-Dichloropropene",542-75-6,C(C=CCl)Cl,C3H4Cl2
"1,3-Dinitrobenzene",99-65-0,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],C6H4N2O4
"1,3-Dioxolane",646-06-0,C1COCO1,C3H6O2
"1,3-Pentadiene",504-60-9,CC=CC=C,C5H8
"1,4-Benzoquinone",106-51-4,C1=CC(=O)C=CC1=O,C6H4O2
"1,4-Dioxane",123-91-1,C1COCCO1,C4H8O2
1-Butene,106-98-9,CCC=C,C4H8
1-Butyl Mercaptan,109-79-5,CCCCS,C4H10S
1-Chloro-2-propanone,78-95-5,CC(=O)CCl,C3H5ClO
1-Hexanol,111-27-3,CCCCCCO,C6H14O
1-Methylnaphthalene,90-12-0,CC1=CC=CC2=CC=CC=C12,C11H10
"2,2-Dimethylbutane",75-83-2,CCC(C)(C)C,C6H14
"2,2-Dimethylpropane",463-82-1,CC(C)(C)C,C5H12
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,C12H4Cl4O2
"2,4,6-Trinitrotoluene",118-96-7,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C7H5N3O6
"2,4-D",94-75-7,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,C8H6Cl2O3
"2,4-Dinitrophenol",51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C6H4N2O5
"2,4-Dinitrotoluene",121-14-2,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],C7H6N2O4
"2,4-Toluene Diisocyanate",584-84-9,CC1=C(C=C(C=C1)N=C=O)N=C=O,C9H6N2O2
"2,6-Toluene Diisocyanate",1991-08-07,CC1=C(C=CC=C1N=C=O)N=C=O,C9H6N2O2
2-Aminotoluene,95-53-4,CC1=CC=CC=C1N,C7H9N
2-Chloroethanol,107-07-3,C(CCl)O,C2H5ClO
2-Hexanone,591-78-6,CCCCC(=O)C,C6H12O
2-Methylcyclohexanone,583-60-8,CC1CCCCC1=O,C7H12O
2-Nitroaniline,88-74-4,C1=CC=C(C(=C1)N)[N+](=O)[O-],C6H6N2O2
2-Nitropropane,79-46-9,CC(C)[N+](=O)[O-],C3H7NO2
2-Pentanone,107-87-9,CCCC(=O)C,C5H10O
2-Pentyl Acetate,626-38-0,CCCC(C)OC(=O)C,C7H14O2
2-Xylene,95-47-6,CC1=CC=CC=C1C,C8H10
"3,3'-Dichlorobenzidine",91-94-1,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,C12H10Cl2N2
3-Bromo-1-propyne,106-96-7,C#CCBr,C3H3Br
3-Nitroaniline,1999-09-02,C1=CC(=CC(=C1)[N+](=O)[O-])N,C6H6N2O2
3-Xylene,108-38-3,CC1=CC(=CC=C1)C,C8H10
"4,4'-Methylenebis(2-chloroaniline)",101-14-4,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,C13H12Cl2N2
"4,6-Dinitro-o-cresol",534-52-1,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],C7H6N2O5
4-Methyl-2-pentyl Acetate,108-84-9,CC(C)CC(C)OC(=O)C,C8H16O2
4-Nitroaniline,100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],C6H6N2O2
Acetaldehyde,75-07-0,CC=O,C2H4O
Acetamide,60-35-5,CC(=O)N,C2H5NO
Acetic Acid,64-19-7,CC(=O)O,C2H4O2
Acetic Anhydride,108-24-7,CC(=O)OC(=O)C,C4H6O3
Acetone,67-64-1,CC(=O)C,C3H6O
Acetone Cyanohydrin,75-86-5,CC(C)(C#N)O,C4H7NO
Acetonitrile,1975-05-08,CC#N,C2H3N
Acetyl Acetone,123-54-6,CC(=O)CC(=O)C,C5H8O2
Acetyl Chloride,75-36-5,CC(=O)Cl,C2H3ClO
Acetylene,74-86-2,C#C,C2H2
Acrolein,107-02-8,C=CC=O,C3H4O
Acrylamide,1979-06-01,C=CC(=O)N,C3H5NO
Acrylic acid,1979-10-07,C=CC(=O)O,C3H4O2
Acrylonitrile,107-13-1,C=CC#N,C3H3N
Adiponitrile,111-69-3,C(CCC#N)CC#N,C6H8N2
Aldrin,309-00-2,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,C12H8Cl6
Alfentanil,71195-58-9,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,C21H32N6O3
Allyl alcohol,107-18-6,C=CCO,C3H6O
Allyl Chloride,107-05-1,C=CCCl,C3H5Cl
Aluminum phosphide,20859-73-8,[Al]#P,AlP
"Aluminum, Elemental",7429-90-5,[Al],Al
Ammonia,7664-41-7,N,H3N
Ammonium Formate,540-69-2,C(=O)[O-].[NH4+],CH5NO2
Ammonium Hydroxide,1336-21-6,[NH4+].[OH-],H5NO
Ammonium Nitrate,6484-52-2,[NH4+].[N+](=O)([O-])[O-],H4N2O3
Ammonium perchlorate,7790-98-9,[NH4+].[O-]Cl(=O)(=O)=O,ClH4NO4
Ammonium picrate,131-74-8,C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+],C6H6N4O7
Ammonium sulfate,7783-20-2,[NH4+].[NH4+].[O-]S(=O)(=O)[O-],H8N2O4S
Amosite asbestos,12172-73-5,C1C2C(C(C(C1O)O)O)NC(=O)C3=C(C4=C(C=C23)OCO4)O,C14H15NO7
Amphetamine,300-62-9,CC(CC1=CC=CC=C1)N,C9H13N
Aniline,62-53-3,C1=CC=C(C=C1)N,C6H7N
"Antimony, elemental",7440-36-0,[Sb],Sb
"Argon, Elemental",7440-37-1,[Ar],Ar
Arsenic Trichloride,7784-34-1,Cl[As](Cl)Cl,AsCl3
Arsenic Trioxide,1327-53-3,O=[As]O[As]=O,As2O3
"Arsenic, Elemental",7440-38-2,[As],As
Arsine,7784-42-1,[AsH3],AsH3
Azinphosmethyl,86-50-0,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,C10H12N3O3PS2
Barium carbonate,513-77-9,C(=O)([O-])[O-].[Ba+2],CBaO3
Barium permanganate,7787-36-2,[O-][Mn](=O)(=O)=O.[O-][Mn](=O)(=O)=O.[Ba+2],BaMn2O8
Barium sulfate,7727-43-7,[O-]S(=O)(=O)[O-].[Ba+2],BaO4S
"Barium, Elemental",7440-39-3,[Ba],Ba
Benzaldehyde,100-52-7,C1=CC=C(C=C1)C=O,C7H6O
Benzene,71-43-2,C1=CC=CC=C1,C6H6
Benzenesulfonyl Chloride,1998-09-09,C1=CC=C(C=C1)S(=O)(=O)Cl,C6H5ClO2S
Benzidine,92-87-5,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,C12H12N2
Benzyl Chloride,100-44-7,C1=CC=C(C=C1)CCl,C7H7Cl
"Beryllium, Elemental",7440-41-7,[Be],Be
beta-Hexachlorocyclohexane,319-85-7,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,C6H6Cl6
Bis(2-Chloroethyl) Ether,111-44-4,C(CCl)OCCCl,C4H8Cl2O
Bis(2-Chloroethyl)sulfide,505-60-2,C(CCl)SCCCl,C4H8Cl2S
Bis(2-Ethylhexyl) Phthalate,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,C24H38O4
Bis(chloromethyl) ether,542-88-1,C(OCCl)Cl,C2H4Cl2O
Boron Trichloride,10294-34-5,B(Cl)(Cl)Cl,BCl3
Boron Trifluoride,7637-07-02,B(F)(F)F,BF3
Bromine,7726-95-6,BrBr,Br2
Bromobenzene,108-86-1,C1=CC=C(C=C1)Br,C6H5Br
Bromoform,75-25-2,C(Br)(Br)Br,CHBr3
Butanenitrile,109-74-0,CCCC#N,C4H7N
Cadmium Oxide,1306-19-0,O=[Cd],CdO
"Cadmium, Elemental",7440-43-9,[Cd],Cd
Calcium Arsenate,7778-44-1,[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2],As2Ca3O8
Calcium Carbide,75-20-7,[C-]#[C-].[Ca+2],C2Ca
Calcium hydride,7789-78-8,[H-].[H-].[Ca+2],CaH2
Calcium Hydroxide,1305-62-0,[OH-].[OH-].[Ca+2],CaH2O2
Calcium Hypochlorite,7778-54-3,[O-]Cl.[O-]Cl.[Ca+2],CaCl2O2
Calcium Nitrate,10124-37-5,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ca+2],CaN2O6
Calcium Oxide,1305-78-8,O=[Ca],CaO
Calcium Permanganate,10118-76-0,[O-][Mn](=O)(=O)=O.[O-][Mn](=O)(=O)=O.[Ca+2],CaMn2O8
Calcium Phosphide,1305-99-3,[P-]=[Ca].[P-]=[Ca].[Ca+2],Ca3P2
Carbon dioxide,124-38-9,C(=O)=O,CO2
Carbon disulfide,75-15-0,C(=S)=S,CS2
Carbon monoxide,630-08-0,[C-]#[O+],CO
Carbon tetrachloride,56-23-5,C(Cl)(Cl)(Cl)Cl,CCl4
